iter	Passed	Remaining
0	318	317918
1	475	237257
2	638	212296
3	822	204777
4	985	196038
5	1129	187112
6	1285	182421
7	1430	177332
8	1570	172964
9	1718	170092
10	1880	169041
11	2018	166185
12	2206	167553
13	2353	165774
14	2497	164018
15	2637	162225
16	2818	162994
17	2975	162306
18	3121	161169
19	3302	161826
20	3450	160864
21	3592	159718
22	3749	159292
23	3921	159484
24	4068	158664
25	4235	158663
26	4380	157872
27	4521	156962
28	4691	157074
29	4867	157380
30	5019	156907
31	5169	156392
32	5314	155717
33	5477	155625
34	5628	155174
35	5782	154847
36	5934	154464
37	6074	153768
38	6243	153840
39	6420	154096
40	6561	153470
41	6715	153170
42	6857	152616
43	6992	151918
44	7180	152376
45	7312	151663
46	7497	152029
47	7656	151860
48	7786	151120
49	7937	150812
50	8059	149976
51	8194	149386
52	8377	149684
53	8530	149440
54	8688	149284
55	8836	148953
56	8975	148492
57	9103	147851
58	9282	148052
59	9426	147688
60	9570	147330
61	9730	147219
62	9881	146968
63	10039	146827
64	10168	146277
65	10308	145882
66	10453	145573
67	10614	145479
68	10764	145236
69	10951	145493
70	11084	145032
71	11223	144655
72	11364	144310
73	11523	144196
74	11644	143612
75	11782	143252
76	11943	143164
77	12106	143108
78	12242	142730
79	12406	142678
80	12535	142223
81	12673	141877
82	12808	141507
83	12944	141153
84	13066	140659
85	13218	140488
86	13358	140188
87	13484	139743
88	13683	140061
89	13807	139607
90	13935	139198
91	14061	138780
92	14189	138383
93	14312	137948
94	14464	137796
95	14610	137584
96	14783	137623
97	14917	137298
98	15059	137055
99	15235	137116
100	15413	137197
101	15549	136892
102	15684	136595
103	15808	136197
104	15993	136322
105	16131	136053
106	16266	135754
107	16396	135425
108	16531	135136
109	16717	135257
110	16852	134971
111	17001	134796
112	17164	134737
113	17295	134420
114	17453	134313
115	17601	134137
116	17749	133952
117	17912	133887
118	18051	133641
119	18201	133481
120	18356	133350
121	18508	133203
122	18633	132859
123	18758	132521
124	18883	132186
125	19063	132236
126	19205	132016
127	19326	131661
128	19476	131502
129	19602	131182
130	19749	131011
131	19872	130678
132	20015	130477
133	20140	130163
134	20280	129942
135	20427	129775
136	20572	129594
137	20734	129512
138	20885	129368
139	21022	129140
140	21169	128966
141	21290	128644
142	21424	128396
143	21566	128198
144	21704	127980
145	21838	127737
146	22001	127670
147	22151	127518
148	22278	127240
149	22403	126955
150	22538	126724
151	22711	126703
152	22857	126539
153	22988	126289
154	23121	126048
155	23245	125766
156	23386	125572
157	23526	125376
158	23663	125165
159	23796	124932
160	23932	124718
161	24070	124512
162	24209	124312
163	24336	124057
164	24476	123864
165	24604	123613
166	24731	123359
167	24856	123097
168	25003	122945
169	25140	122744
170	25342	122858
171	25482	122670
172	25616	122454
173	25741	122198
174	25892	122063
175	26029	121864
176	26167	121672
177	26304	121475
178	26441	121274
179	26587	121119
180	26722	120917
181	26844	120653
